Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,41,0,14.2,1.8,4.5,.393,1.2,3.2,.374,0.6,1.3,.442,.527,0.8,0.9,.865,0.3,0.9,1.1,0.5,0.4,0.1,0.5,1.5,5.5
2,Quincy Acy\acyqu01,PF,26,TOT,17,0,10.6,1.8,3.8,.469,0.8,1.7,.483,0.9,2.1,.457,.578,1.0,1.2,.850,0.8,1.5,2.2,0.1,0.2,0.4,0.4,1.5,5.4
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,11,0,12.0,2.3,4.3,.532,1.2,2.0,.591,1.1,2.3,.480,.670,1.4,1.5,.882,1.0,1.7,2.7,0.2,0.3,0.6,0.5,1.5,7.1
3,Steven Adams\adamsst01,C,23,OKC,49,49,30.5,5.0,8.6,.587,0.0,0.0,.000,5.0,8.5,.590,.587,2.1,3.1,.695,3.1,4.6,7.8,1.1,1.1,1.1,2.0,2.4,12.2
4,Arron Afflalo\afflaar01,SG,31,SAC,43,28,25.3,2.8,6.5,.429,1.0,2.6,.396,1.8,3.9,.450,.507,1.2,1.4,.883,0.2,1.8,2.0,1.2,0.3,0.1,0.7,1.7,7.8
5,Alexis Ajinca\ajincal01,C,28,NOP,21,10,14.1,1.9,4.1,.465,0.0,0.1,.000,1.9,4.0,.482,.465,0.5,0.7,.714,1.0,3.3,4.3,0.3,0.4,0.7,0.8,1.7,4.3
6,Cole Aldrich\aldrico01,C,28,MIN,46,0,9.7,0.8,1.5,.521,0.0,0.0,,0.8,1.5,.521,.521,0.3,0.5,.667,1.0,2.0,3.0,0.5,0.5,0.5,0.3,1.6,1.9
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,45,45,32.1,6.9,14.0,.491,0.4,0.8,.457,6.5,13.2,.493,.504,3.4,4.2,.816,2.2,5.0,7.2,2.2,0.6,1.1,1.4,2.3,17.5
8,Lavoy Allen\allenla01,PF,27,IND,38,1,13.0,0.9,2.3,.409,0.0,0.0,.000,0.9,2.3,.414,.409,0.3,0.4,.813,1.0,1.6,2.6,0.9,0.3,0.3,0.3,1.2,2.2
9,Tony Allen\allento01,SG,35,MEM,45,43,28.2,4.0,8.6,.462,0.2,0.7,.226,3.8,7.9,.483,.471,1.3,2.0,.630,2.4,3.2,5.6,1.2,1.8,0.4,1.5,2.6,9.4
10,Al-Farouq Aminu\aminual01,SF,26,POR,33,23,28.7,2.7,7.6,.360,1.0,3.5,.278,1.8,4.1,.430,.424,1.1,1.6,.712,1.1,6.0,7.1,2.2,1.0,0.7,1.5,1.8,7.5
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,19,0,11.4,1.1,3.2,.350,0.6,1.7,.344,0.5,1.5,.357,.442,0.4,0.5,.700,0.2,0.8,1.0,0.5,0.2,0.0,0.3,1.2,3.2
