Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-061,HOU,@,LAL,L (-6),1,37:11,9,19,.474,1,7,.143,15,16,.938,3,4,7,17,1,0,7,5,34,31.1,+10
2,2,2016-10-28,27-063,HOU,@,DAL,W (+8),1,35:51,9,18,.500,4,9,.444,4,5,.800,1,6,7,8,1,0,4,4,26,20.1,+7
3,3,2016-10-30,27-065,HOU,,DAL,W (+1),1,38:37,8,23,.348,3,9,.333,9,12,.750,1,6,7,8,1,0,8,4,28,13.4,+1
4,4,2016-11-01,27-067,HOU,@,CLE,L (-8),1,38:10,13,20,.650,5,9,.556,10,14,.714,1,6,7,15,1,0,1,3,41,42.4,+10
5,5,2016-11-02,27-068,HOU,@,NYK,W (+19),1,33:56,9,16,.563,5,12,.417,7,8,.875,1,5,6,15,2,0,3,1,30,33.3,+21
6,6,2016-11-05,27-071,HOU,@,ATL,L (-15),1,36:55,10,19,.526,4,8,.500,6,7,.857,1,8,9,11,3,0,8,4,30,24.5,-8
7,7,2016-11-07,27-073,HOU,@,WAS,W (+8),1,39:48,9,19,.474,3,7,.429,11,11,1.000,0,5,5,15,0,0,7,2,32,26.5,+8
8,8,2016-11-09,27-075,HOU,@,SAS,W (+2),1,40:50,9,19,.474,1,5,.200,5,7,.714,2,10,12,15,1,0,8,1,24,21.0,+12
9,9,2016-11-12,27-078,HOU,,SAS,L (-6),1,38:56,7,18,.389,2,9,.222,9,11,.818,5,6,11,13,0,0,7,1,25,21.4,+1
10,10,2016-11-14,27-080,HOU,,PHI,W (+27),1,33:01,12,20,.600,4,8,.500,5,5,1.000,1,6,7,9,1,1,5,2,33,28.5,+22
11,11,2016-11-16,27-082,HOU,@,OKC,L (-2),1,36:44,4,16,.250,1,5,.200,4,7,.571,3,4,7,13,3,0,6,1,13,11.2,-5
12,12,2016-11-17,27-083,HOU,,POR,W (+17),1,31:37,7,17,.412,3,8,.375,9,11,.818,1,11,12,14,3,0,4,3,26,27.7,+23
13,13,2016-11-19,27-085,HOU,,UTA,W (+9),1,34:55,10,24,.417,4,10,.400,7,9,.778,0,4,4,10,0,2,0,3,31,25.8,-2
14,14,2016-11-21,27-087,HOU,@,DET,W (+3),1,37:38,6,17,.353,2,9,.222,14,19,.737,2,6,8,11,0,1,6,2,28,21.3,+6
15,15,2016-11-23,27-089,HOU,,TOR,L (-13),1,40:32,7,13,.538,3,8,.375,12,12,1.000,0,6,6,15,2,0,12,4,29,23.4,-12
16,16,2016-11-25,27-091,HOU,@,SAC,W (+13),1,39:59,6,18,.333,3,11,.273,8,8,1.000,1,8,9,10,0,0,5,2,23,17.1,+10
17,17,2016-11-27,27-093,HOU,@,POR,W (+16),1,34:29,11,22,.500,5,12,.417,11,13,.846,1,1,2,10,2,1,5,3,38,30.7,+8
18,18,2016-11-29,27-095,HOU,@,UTA,L (-19),1,35:08,8,23,.348,2,6,.333,8,10,.800,3,2,5,7,2,0,2,3,26,18.7,-19
19,19,2016-12-01,27-097,HOU,@,GSW,W (+5),1,45:48,8,23,.348,2,11,.182,11,14,.786,1,14,15,13,2,1,7,4,29,23.0,-6
20,20,2016-12-02,27-098,HOU,@,DEN,W (+18),1,33:15,6,16,.375,1,5,.200,7,8,.875,1,6,7,9,1,1,5,3,20,15.1,+12
21,21,2016-12-05,27-101,HOU,,BOS,W (+1),1,35:19,8,14,.571,3,5,.600,18,18,1.000,1,7,8,7,3,0,10,2,37,30.3,+3
22,22,2016-12-07,27-103,HOU,,LAL,W (+39),1,29:47,8,14,.571,4,7,.571,5,6,.833,0,6,6,7,4,0,4,0,25,24.7,+19
23,23,2016-12-09,27-105,HOU,@,OKC,W (+3),1,36:45,6,23,.261,2,11,.182,7,8,.875,1,8,9,12,2,0,8,5,21,10.4,+1
24,24,2016-12-10,27-106,HOU,,DAL,W (+22),1,39:55,4,12,.333,2,8,.250,8,10,.800,0,9,9,16,2,0,4,1,18,21.9,+20
25,25,2016-12-12,27-108,HOU,,BRK,W (+4),1,38:30,12,27,.444,4,11,.364,8,12,.667,3,5,8,11,2,0,4,3,36,28.4,-2
26,26,2016-12-14,27-110,HOU,,SAC,W (+34),1,29:52,4,7,.571,3,6,.500,4,4,1.000,0,11,11,14,1,0,5,0,15,20.8,+29
27,27,2016-12-16,27-112,HOU,,NOP,W (+22),1,33:50,7,15,.467,6,12,.500,9,11,.818,2,9,11,13,0,0,4,2,29,28.9,+14
28,28,2016-12-17,27-113,HOU,@,MIN,W (+2),1,42:54,8,20,.400,3,11,.273,9,11,.818,0,9,9,13,1,2,7,5,28,21.6,+4
29,29,2016-12-20,27-116,HOU,,SAS,L (-2),1,36:48,10,26,.385,1,11,.091,10,10,1.000,2,8,10,7,0,0,3,1,31,22.1,+1
30,30,2016-12-21,27-117,HOU,@,PHO,W (+14),1,34:46,8,18,.444,5,11,.455,6,8,.750,1,4,5,14,1,0,2,1,27,27.1,+4
31,31,2016-12-23,27-119,HOU,@,MEM,L (-6),1,36:11,6,13,.462,2,6,.333,2,3,.667,1,6,7,17,1,0,9,5,16,13.3,+11
32,32,2016-12-26,27-122,HOU,,PHO,W (+16),1,30:06,9,18,.500,2,9,.222,12,15,.800,1,4,5,12,0,0,7,4,32,23.5,+24
33,33,2016-12-27,27-123,HOU,@,DAL,W (+16),1,29:57,9,16,.563,4,7,.571,12,12,1.000,2,3,5,11,0,1,7,2,34,29.3,+13
34,34,2016-12-30,27-126,HOU,,LAC,W (+24),1,33:39,10,15,.667,2,5,.400,8,9,.889,1,12,13,10,5,2,6,1,30,34.4,-1
35,35,2016-12-31,27-127,HOU,,NYK,W (+7),1,42:05,14,26,.538,9,16,.563,16,18,.889,3,13,16,17,0,0,8,2,53,48.7,+13
36,36,2017-01-02,27-129,HOU,,WAS,W (+10),1,42:04,6,24,.250,2,11,.182,9,10,.900,1,9,10,10,3,0,6,1,23,15.2,+14
37,37,2017-01-05,27-132,HOU,,OKC,W (+2),1,38:05,6,16,.375,2,7,.286,12,14,.857,1,7,8,12,1,1,6,2,26,22.5,+2
38,38,2017-01-06,27-133,HOU,@,ORL,W (+7),1,34:09,5,15,.333,0,8,.000,4,6,.667,1,5,6,10,1,0,6,4,14,7.3,-6
39,39,2017-01-08,27-135,HOU,@,TOR,W (+7),1,37:51,13,26,.500,4,9,.444,10,10,1.000,3,7,10,11,2,2,10,3,40,31.1,-3
40,40,2017-01-10,27-137,HOU,,CHO,W (+7),1,37:47,11,24,.458,7,14,.500,11,14,.786,1,14,15,10,0,0,4,3,40,33.1,+2
41,41,2017-01-11,27-138,HOU,@,MIN,L (-14),1,38:38,10,23,.435,2,11,.182,11,13,.846,0,6,6,12,1,2,6,0,33,26.7,-10
42,42,2017-01-13,27-140,HOU,,MEM,L (-5),1,36:43,6,14,.429,2,7,.286,13,14,.929,0,3,3,9,1,0,7,3,27,19.2,-2
43,43,2017-01-15,27-142,HOU,@,BRK,W (+25),1,31:31,6,16,.375,4,9,.444,6,7,.857,2,10,12,11,1,0,7,4,22,17.3,+18
44,44,2017-01-17,27-144,HOU,@,MIA,L (-6),1,39:20,12,30,.400,4,15,.267,12,13,.923,1,11,12,10,2,0,6,3,40,29.2,0
45,45,2017-01-18,27-145,HOU,,MIL,W (+19),1,36:42,14,25,.560,4,11,.364,6,6,1.000,0,6,6,8,0,2,2,2,38,32.1,+21
46,46,2017-01-20,27-147,HOU,,GSW,L (-17),1,34:56,6,13,.462,0,5,.000,5,5,1.000,0,6,6,11,1,0,7,3,17,12.6,-20
47,47,2017-01-21,27-148,HOU,@,MEM,W (+24),1,33:53,7,9,.778,4,6,.667,11,12,.917,1,5,6,10,3,2,6,3,29,31.5,+21
48,48,2017-01-23,27-150,HOU,@,MIL,L (-13),1,39:33,6,10,.600,2,4,.500,12,14,.857,0,8,8,12,3,1,11,3,26,22.9,+5
49,49,2017-01-25,27-152,HOU,@,BOS,L (-11),1,37:01,6,18,.333,2,11,.182,16,19,.842,0,6,6,12,1,1,7,3,30,22.3,-14
50,50,2017-01-27,27-154,HOU,@,PHI,W (+5),1,39:09,16,28,.571,6,11,.545,13,14,.929,1,12,13,13,2,1,5,4,51,46.9,+13
51,51,2017-01-29,27-156,HOU,@,IND,L (-19),1,31:49,3,17,.176,2,10,.200,7,7,1.000,1,4,5,8,3,0,8,5,15,4.8,-23
52,52,2017-01-31,27-158,HOU,,SAC,W (+22),1,31:44,3,9,.333,0,5,.000,4,4,1.000,0,7,7,8,1,0,5,2,10,7.8,+17
53,53,2017-02-02,27-160,HOU,,ATL,L (-5),1,38:35,10,23,.435,5,12,.417,16,21,.762,2,6,8,8,4,0,4,3,41,34.5,+1
54,54,2017-02-03,27-161,HOU,,CHI,W (+4),1,43:42,13,33,.394,5,13,.385,11,14,.786,1,11,12,9,1,1,2,4,42,31.3,-11
55,55,2017-02-07,27-165,HOU,,ORL,W (+24),1,36:00,6,21,.286,3,10,.300,10,14,.714,1,5,6,13,3,0,4,1,25,21.0,+18
56,56,2017-02-09,27-167,HOU,@,CHO,W (+12),1,39:27,8,21,.381,4,9,.444,10,12,.833,1,10,11,8,1,1,9,4,30,18.1,+13
57,57,2017-02-11,27-169,HOU,,PHO,W (+31),1,29:13,9,17,.529,8,15,.533,14,16,.875,1,5,6,8,0,0,8,2,40,29.9,+26
