Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-25,31-300,CLE,,NYK,W (+29),1,32:23,9,14,.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,22.2,+27
2,2,2016-10-28,31-303,CLE,@,TOR,W (+3),1,38:40,7,16,.438,2,6,.333,5,7,.714,2,6,8,7,0,0,5,2,21,14.1,0
3,3,2016-10-29,31-304,CLE,,ORL,W (+6),1,39:00,7,16,.438,2,6,.333,7,11,.636,1,5,6,9,1,1,2,2,23,20.4,+1
4,4,2016-11-01,31-307,CLE,,HOU,W (+8),1,35:51,6,12,.500,1,3,.333,6,10,.600,3,10,13,8,0,0,4,4,19,16.5,+15
5,5,2016-11-03,31-309,CLE,,BOS,W (+6),1,36:22,12,22,.545,1,4,.250,5,5,1.000,1,6,7,12,1,0,2,2,30,28.5,+18
6,6,2016-11-05,31-311,CLE,@,PHI,W (+1),1,35:52,9,23,.391,1,5,.200,6,7,.857,1,7,8,14,2,1,5,1,25,22.0,+11
7,7,2016-11-08,31-314,CLE,,ATL,L (-4),1,36:52,8,17,.471,2,5,.400,5,5,1.000,2,7,9,5,3,0,1,3,23,22.1,+7
8,8,2016-11-11,31-317,CLE,@,WAS,W (+11),1,38:06,9,18,.500,3,4,.750,6,9,.667,0,10,10,5,2,2,6,1,27,20.3,+7
9,9,2016-11-13,31-319,CLE,,CHO,W (+7),1,38:42,8,21,.381,2,5,.400,1,2,.500,0,8,8,8,1,1,3,0,19,13.8,+12
10,10,2016-11-15,31-321,CLE,,TOR,W (+4),1,38:04,10,15,.667,2,5,.400,6,10,.600,0,9,9,15,1,0,5,2,28,28.3,+1
11,,2016-11-16,31-322,CLE,@,IND,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
12,11,2016-11-18,31-324,CLE,,DET,W (+23),1,28:03,9,14,.643,1,3,.333,2,3,.667,0,3,3,3,0,1,2,1,21,15.7,+21
13,12,2016-11-23,31-329,CLE,,POR,W (+12),1,37:30,11,21,.524,2,3,.667,7,8,.875,1,9,10,13,3,0,3,0,31,32.8,+17
14,13,2016-11-25,31-331,CLE,,DAL,W (+38),1,29:03,6,13,.462,2,5,.400,5,5,1.000,0,5,5,11,1,0,4,1,19,18.1,+33
15,14,2016-11-27,31-333,CLE,@,PHI,W (+4),1,41:30,9,19,.474,1,4,.250,7,9,.778,2,8,10,13,1,0,5,0,26,24.4,+2
16,15,2016-11-29,31-335,CLE,@,MIL,L (-17),1,32:53,8,16,.500,3,8,.375,3,7,.429,0,4,4,4,0,0,7,3,22,8.2,-12
17,16,2016-12-01,31-337,CLE,,LAC,L (-19),1,33:37,5,14,.357,0,2,.000,6,11,.545,1,4,5,5,2,0,5,2,16,7.8,-20
18,17,2016-12-02,31-338,CLE,@,CHI,L (-6),1,44:40,13,22,.591,1,3,.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-3
19,18,2016-12-05,31-341,CLE,@,TOR,W (+4),1,42:01,12,26,.462,2,7,.286,8,9,.889,3,5,8,7,2,0,1,2,34,28.9,+9
20,19,2016-12-07,31-343,CLE,@,NYK,W (+32),1,32:27,7,10,.700,1,2,.500,10,14,.714,2,4,6,7,1,2,4,2,25,24.3,+32
21,20,2016-12-09,31-345,CLE,,MIA,W (+30),1,37:19,12,22,.545,1,3,.333,2,4,.500,2,6,8,8,3,0,3,2,27,23.6,+21
