Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-25,25-118,SAS,@,GSW,W (+29),1,32:03,10,21,.476,0,3,.000,15,15,1.000,3,2,5,3,5,0,2,1,35,31.7,+14
2,2,2016-10-27,25-120,SAS,@,SAC,W (+8),1,34:55,11,21,.524,1,5,.200,7,7,1.000,0,3,3,5,5,0,1,5,30,26.1,+4
3,3,2016-10-29,25-122,SAS,,NOP,W (+19),1,28:00,6,12,.500,2,4,.500,6,6,1.000,0,4,4,3,2,0,0,1,20,18.9,+13
4,4,2016-10-30,25-123,SAS,@,MIA,W (+7),1,29:49,8,16,.500,1,3,.333,10,12,.833,0,2,2,6,1,1,4,3,27,19.5,+12
5,5,2016-11-01,25-125,SAS,,UTA,L (-15),1,35:47,10,18,.556,5,7,.714,5,5,1.000,0,7,7,2,2,0,2,1,30,24.5,-5
6,6,2016-11-04,25-128,SAS,@,UTA,W (+14),1,31:30,9,18,.500,1,5,.200,10,10,1.000,4,7,11,4,1,1,1,2,29,27.6,+7
7,7,2016-11-05,25-129,SAS,,LAC,L (-24),1,27:55,3,13,.231,0,3,.000,8,8,1.000,1,5,6,1,1,1,2,1,14,8.3,-9
8,8,2016-11-09,25-133,SAS,,HOU,L (-2),1,38:59,11,26,.423,4,6,.667,8,8,1.000,2,5,7,1,1,2,2,1,34,23.8,-12
9,9,2016-11-11,25-135,SAS,,DET,W (+10),1,37:12,5,18,.278,4,5,.800,3,3,1.000,0,4,4,1,4,0,2,1,17,9.9,-1
10,10,2016-11-12,25-136,SAS,@,HOU,W (+6),1,37:38,9,16,.563,0,5,.000,2,2,1.000,0,2,2,0,4,0,2,3,20,13.8,+1
11,11,2016-11-14,25-138,SAS,,MIA,W (+4),1,34:34,7,19,.368,3,5,.600,7,9,.778,1,11,12,4,0,0,4,2,24,14.7,-1
12,12,2016-11-16,25-140,SAS,@,SAC,W (+5),1,32:02,7,14,.500,4,9,.444,2,2,1.000,2,4,6,1,4,1,1,1,20,19.6,+25
13,13,2016-11-18,25-142,SAS,@,LAL,W (+9),1,39:12,7,15,.467,2,7,.286,7,8,.875,1,11,12,7,2,0,3,0,23,22.8,+10
14,14,2016-11-21,25-145,SAS,,DAL,W (+5),1,33:48,8,19,.421,1,1,1.000,7,8,.875,2,7,9,4,1,0,1,2,24,19.0,-7
15,15,2016-11-23,25-147,SAS,@,CHO,W (+5),1,36:36,14,21,.667,2,7,.286,0,1,.000,2,3,5,4,1,1,0,2,30,26.5,+7
16,16,2016-11-25,25-149,SAS,@,BOS,W (+6),1,35:01,8,18,.444,3,7,.429,6,6,1.000,2,8,10,4,0,2,2,1,25,21.2,-2
17,17,2016-11-26,25-150,SAS,@,WAS,W (+12),1,35:37,5,14,.357,1,6,.167,8,10,.800,0,1,1,5,3,0,3,1,19,13.8,+8
18,18,2016-11-29,25-153,SAS,,ORL,L (-12),1,32:02,6,16,.375,1,4,.250,8,9,.889,1,1,2,0,2,0,2,1,21,12.4,-18
19,19,2016-11-30,25-154,SAS,@,DAL,W (+7),1,31:02,5,16,.313,2,5,.400,9,12,.750,1,6,7,2,2,0,2,1,21,14.1,+5
20,20,2016-12-02,25-156,SAS,,WAS,W (+2),1,34:18,9,18,.500,2,4,.500,3,3,1.000,1,4,5,2,2,0,1,1,23,17.9,-4
21,21,2016-12-05,25-159,SAS,@,MIL,W (+1),1,30:45,9,22,.409,1,5,.200,2,2,1.000,2,7,9,0,0,2,2,1,21,11.7,+4
22,22,2016-12-06,25-160,SAS,@,MIN,W (+14),1,35:36,11,15,.733,2,3,.667,7,8,.875,0,1,1,4,2,0,1,1,31,28.2,+16
23,23,2016-12-08,25-162,SAS,@,CHI,L (-4),1,38:07,10,19,.526,1,2,.500,3,3,1.000,3,5,8,5,1,0,2,3,24,19.6,-9
24,24,2016-12-10,25-164,SAS,,BRK,W (+29),1,27:08,10,18,.556,4,7,.571,6,6,1.000,1,6,7,3,1,1,0,1,30,27.3,+21
25,25,2016-12-14,25-168,SAS,,BOS,W (+7),1,36:31,9,17,.529,1,5,.200,7,7,1.000,1,2,3,6,2,1,4,1,26,21.5,+8
26,26,2016-12-15,25-169,SAS,@,PHO,W (+15),1,27:26,6,12,.500,1,3,.333,5,5,1.000,2,8,10,4,2,0,1,0,18,19.6,+14
27,27,2016-12-18,25-172,SAS,,NOP,W (+13),1,24:27,5,10,.500,1,3,.333,2,2,1.000,0,2,2,0,1,1,0,1,13,9.9,+21
28,28,2016-12-20,25-174,SAS,@,HOU,W (+2),1,36:21,5,14,.357,0,3,.000,11,13,.846,0,5,5,4,5,0,7,1,21,14.3,0
29,29,2016-12-22,25-176,SAS,@,LAC,L (-5),1,34:04,8,19,.421,1,3,.333,10,11,.909,4,5,9,5,1,2,4,2,27,21.9,-8
30,30,2016-12-23,25-177,SAS,@,POR,W (+20),1,31:43,9,15,.600,5,7,.714,10,10,1.000,0,3,3,2,1,0,2,2,33,26.6,+13
31,31,2016-12-25,25-179,SAS,,CHI,W (+19),1,37:38,7,14,.500,3,5,.600,8,8,1.000,4,6,10,5,3,1,2,1,25,27.4,+22
32,,2016-12-28,25-182,SAS,,PHO,W (+21),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
33,,2016-12-30,25-184,SAS,,POR,W (+16),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
34,32,2017-01-01,25-186,SAS,@,ATL,L (-2),1,28:09,3,12,.250,1,6,.167,6,7,.857,2,2,4,2,1,1,1,3,13,8.3,-7
35,33,2017-01-03,25-188,SAS,,TOR,W (+28),1,28:10,8,12,.667,5,7,.714,4,5,.800,1,3,4,2,2,3,0,2,25,25.7,+38
36,34,2017-01-05,25-190,SAS,@,DEN,W (+28),1,36:12,9,19,.474,3,6,.500,3,4,.750,1,5,6,5,0,2,1,2,24,19.2,+26
37,35,2017-01-07,25-192,SAS,,CHO,W (+17),1,32:53,7,18,.389,3,10,.300,2,2,1.000,0,2,2,3,0,1,2,2,19,9.8,+2
38,36,2017-01-10,25-195,SAS,,MIL,L (-2),1,36:02,10,16,.625,2,3,.667,8,10,.800,2,5,7,2,3,3,1,1,30,30.0,+5
39,37,2017-01-12,25-197,SAS,,LAL,W (+40),1,26:06,10,13,.769,3,5,.600,8,9,.889,0,2,2,2,2,0,0,0,31,29.5,+27
40,38,2017-01-14,25-199,SAS,@,PHO,L (-3),1,32:23,12,20,.600,2,5,.400,12,14,.857,1,3,4,3,1,0,3,2,38,28.9,-8
41,39,2017-01-17,25-202,SAS,,MIN,W (+8),1,38:34,12,17,.706,2,3,.667,8,9,.889,1,6,7,5,1,0,1,4,34,30.9,+7
42,40,2017-01-19,25-204,SAS,,DEN,W (+14),1,36:03,12,22,.545,2,5,.400,8,8,1.000,0,5,5,4,2,1,1,1,34,29.0,+16
43,41,2017-01-21,25-206,SAS,@,CLE,W (+3),1,45:59,15,30,.500,3,8,.375,8,8,1.000,0,6,6,5,1,1,6,3,41,25.8,+3
44,,2017-01-23,25-208,SAS,@,BRK,W (+26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,,2017-01-24,25-209,SAS,@,TOR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,42,2017-01-27,25-212,SAS,@,NOP,L (-16),1,30:26,6,16,.375,2,6,.333,9,9,1.000,1,5,6,6,1,0,4,2,23,16.8,+2
47,43,2017-01-29,25-214,SAS,,DAL,L (-4),1,37:04,7,17,.412,3,7,.429,7,8,.875,1,6,7,2,1,1,4,2,24,15.3,-10
48,44,2017-01-31,25-216,SAS,,OKC,W (+14),1,35:36,13,26,.500,1,4,.250,9,11,.818,1,7,8,4,0,2,3,0,36,26.2,+4
49,45,2017-02-02,25-218,SAS,,PHI,W (+16),1,25:17,8,17,.471,0,2,.000,3,5,.600,4,4,8,5,2,2,4,1,19,16.0,+8
50,46,2017-02-04,25-220,SAS,,DEN,W (+24),1,31:48,6,13,.462,1,6,.167,6,8,.750,1,5,6,5,2,2,2,0,19,18.6,+18
51,,2017-02-06,25-222,SAS,@,MEM,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
52,47,2017-02-08,25-224,SAS,@,PHI,W (+8),1,36:49,9,18,.500,3,7,.429,11,11,1.000,1,5,6,5,0,0,2,2,32,25.9,+14
53,48,2017-02-10,25-226,SAS,@,DET,W (+11),1,32:52,11,22,.500,3,8,.375,7,9,.778,0,6,6,5,1,0,3,2,32,22.7,+18
54,49,2017-02-12,25-228,SAS,@,NYK,L (-4),1,35:42,13,27,.481,1,7,.143,9,11,.818,2,7,9,4,4,0,3,3,36,27.6,0
55,50,2017-02-13,25-229,SAS,@,IND,W (+4),1,38:57,13,23,.565,2,3,.667,4,5,.800,0,6,6,3,5,0,2,0,32,27.6,+17
56,51,2017-02-15,25-231,SAS,@,ORL,W (+28),1,27:07,8,18,.444,2,5,.400,4,4,1.000,1,4,5,1,2,1,1,1,22,16.5,+16
57,52,2017-02-24,25-240,SAS,@,LAC,W (+8),1,30:51,7,16,.438,0,4,.000,7,10,.700,1,2,3,6,1,0,3,5,21,12.9,-1
58,53,2017-02-26,25-242,SAS,@,LAL,W (+21),1,25:32,9,18,.500,2,7,.286,5,6,.833,1,2,3,1,0,0,2,0,25,15.6,+19
59,54,2017-03-01,25-245,SAS,,IND,W (+1),1,34:29,11,22,.500,3,9,.333,6,6,1.000,2,9,11,2,3,0,2,4,31,24.9,-11
60,55,2017-03-03,25-247,SAS,@,NOP,W (+3),1,39:46,11,26,.423,1,5,.200,8,10,.800,1,6,7,6,3,0,1,1,31,24.7,+4
61,56,2017-03-04,25-248,SAS,,MIN,W (+7),1,43:55,11,25,.440,1,5,.200,11,12,.917,1,9,10,5,6,1,1,1,34,32.7,+18
62,57,2017-03-06,25-250,SAS,,HOU,W (+2),1,39:00,12,18,.667,4,5,.800,11,11,1.000,0,6,6,5,1,2,1,1,39,37.5,+4
63,,2017-03-08,25-252,SAS,,SAC,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
