Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-262,BOS,,BRK,W (+5),1,32:49,7,14,.500,2,7,.286,9,9,1.000,0,6,6,8,2,0,3,3,25,23.2,+15
2,2,2016-10-27,27-263,BOS,@,CHI,L (-6),1,34:47,10,15,.667,3,7,.429,2,6,.333,0,3,3,4,2,0,5,2,25,16.8,-6
3,3,2016-10-29,27-265,BOS,@,CHO,W (+6),1,35:11,9,20,.450,2,7,.286,4,7,.571,0,1,1,7,0,0,2,2,24,14.8,+14
4,4,2016-11-02,27-269,BOS,,CHI,W (+7),1,36:03,8,18,.444,4,7,.571,3,4,.750,1,1,2,10,3,1,3,3,23,20.7,+6
5,5,2016-11-03,27-270,BOS,@,CLE,L (-6),1,33:35,8,19,.421,0,6,.000,14,14,1.000,0,3,3,6,0,0,3,3,30,20.8,-7
6,6,2016-11-06,27-273,BOS,,DEN,L (-16),1,32:56,9,17,.529,1,4,.250,11,12,.917,0,1,1,5,1,0,4,3,30,20.9,-20
7,7,2016-11-09,27-276,BOS,@,WAS,L (-25),1,35:25,6,18,.333,1,6,.167,10,10,1.000,3,3,6,10,0,0,3,4,23,18.2,-18
8,8,2016-11-11,27-278,BOS,,NYK,W (+28),1,27:48,9,17,.529,3,5,.600,8,8,1.000,2,1,3,4,1,0,2,1,29,23.8,+16
9,9,2016-11-12,27-279,BOS,@,IND,W (+6),1,29:26,4,13,.308,1,2,.500,14,15,.933,0,0,0,5,1,0,2,4,23,16.0,-7
10,10,2016-11-14,27-281,BOS,@,NOP,L (-1),1,36:17,13,29,.448,3,10,.300,8,10,.800,0,3,3,7,2,0,1,3,37,26.7,+12
11,11,2016-11-16,27-283,BOS,,DAL,W (+7),1,33:09,7,18,.389,3,5,.600,13,16,.813,2,2,4,6,0,0,5,2,30,19.4,+10
12,12,2016-11-18,27-285,BOS,,GSW,L (-16),1,27:35,4,12,.333,1,6,.167,9,9,1.000,0,2,2,4,0,0,1,1,18,13.2,-20
13,13,2016-11-19,27-286,BOS,@,DET,W (+2),1,35:49,7,22,.318,2,8,.250,8,9,.889,1,3,4,8,0,1,0,1,24,18.5,+3
14,14,2016-11-21,27-288,BOS,@,MIN,W (+6),1,31:53,9,20,.450,2,9,.222,9,10,.900,0,2,2,3,1,0,1,3,29,19.7,-4
15,15,2016-11-23,27-290,BOS,@,BRK,W (+19),1,31:49,8,21,.381,5,9,.556,2,2,1.000,0,1,1,5,0,1,2,1,23,13.6,+10
16,16,2016-11-25,27-292,BOS,,SAS,L (-6),1,35:35,9,21,.429,3,9,.333,3,4,.750,0,1,1,8,0,0,2,2,24,15.6,+6
17,17,2016-11-28,27-295,BOS,@,MIA,W (+8),1,34:34,7,23,.304,2,10,.200,9,9,1.000,0,4,4,8,1,0,1,3,25,17.3,+3
18,18,2016-11-30,27-297,BOS,,DET,L (-7),1,33:16,10,20,.500,3,7,.429,4,4,1.000,0,0,0,4,0,0,2,0,27,17.8,-6
19,19,2016-12-02,27-299,BOS,,SAC,W (+5),1,34:28,6,21,.286,0,5,.000,8,9,.889,1,2,3,7,2,0,1,4,20,12.9,+8
20,20,2016-12-03,27-300,BOS,@,PHI,W (+1),1,33:11,11,19,.579,2,3,.667,13,15,.867,1,3,4,7,1,0,2,2,37,32.0,+4
21,21,2016-12-05,27-302,BOS,@,HOU,L (-1),1,33:17,7,19,.368,3,7,.429,3,3,1.000,0,2,2,3,2,0,2,2,20,11.4,-7
22,,2016-12-07,27-304,BOS,@,ORL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2016-12-09,27-306,BOS,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
