Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,27-349,OKC,@,PHI,W (+6),1,36:23,11,21,.524,1,2,.500,9,11,.818,1,11,12,9,0,0,2,2,32,28.4,+10
2,2,2016-10-28,27-351,OKC,,PHO,W (+3),1,45:19,17,44,.386,2,10,.200,15,20,.750,3,10,13,10,2,0,5,3,51,32.9,+7
3,3,2016-10-30,27-353,OKC,,LAL,W (+17),1,33:39,11,21,.524,5,6,.833,6,6,1.000,4,7,11,16,1,1,7,3,33,32.3,+9
4,4,2016-11-02,27-356,OKC,@,LAC,W (+2),1,32:39,14,30,.467,0,7,.000,7,9,.778,1,5,6,5,3,0,10,4,35,15.9,+12
5,5,2016-11-03,27-357,OKC,@,GSW,L (-26),1,28:52,4,15,.267,2,4,.500,10,14,.714,1,5,6,10,1,2,6,3,20,13.9,-9
6,6,2016-11-05,27-359,OKC,,MIN,W (+20),1,28:22,9,18,.500,4,5,.800,6,8,.750,2,4,6,8,3,0,2,3,28,26.2,+22
7,7,2016-11-07,27-361,OKC,,MIA,W (+12),1,26:39,5,16,.313,1,6,.167,3,3,1.000,2,3,5,11,0,0,5,2,14,9.0,+24
8,8,2016-11-09,27-363,OKC,,TOR,L (-10),1,38:46,9,26,.346,3,12,.250,15,18,.833,2,5,7,7,1,2,8,2,36,21.6,-4
9,9,2016-11-11,27-365,OKC,,LAC,L (-2),1,35:16,9,25,.360,3,5,.600,8,9,.889,1,13,14,9,1,0,4,5,29,20.6,-5
10,10,2016-11-13,28-001,OKC,,ORL,L (-2),1,37:38,14,21,.667,0,3,.000,13,18,.722,2,10,12,16,0,0,2,2,41,42.7,+9
11,11,2016-11-14,28-002,OKC,@,DET,L (-16),1,33:34,11,21,.524,0,2,.000,11,12,.917,2,13,15,8,0,0,7,4,33,24.6,-6
12,12,2016-11-16,28-004,OKC,,HOU,W (+2),1,36:06,9,20,.450,2,4,.500,10,11,.909,1,6,7,9,2,0,6,0,30,24.0,+12
13,13,2016-11-18,28-006,OKC,,BRK,W (+19),1,33:51,13,21,.619,0,1,.000,4,5,.800,3,7,10,13,1,0,3,0,30,31.4,+21
14,14,2016-11-20,28-008,OKC,,IND,L (-4),1,40:20,13,34,.382,2,8,.250,3,5,.600,5,6,11,15,2,0,7,3,31,21.2,-16
15,15,2016-11-22,28-010,OKC,@,LAL,L (-2),1,35:31,13,30,.433,4,9,.444,4,5,.800,3,5,8,13,2,0,8,3,34,23.3,+9
16,16,2016-11-23,28-011,OKC,@,SAC,L (-15),1,35:04,7,18,.389,1,5,.200,16,19,.842,1,10,11,9,2,0,3,1,31,28.6,-7
17,17,2016-11-25,28-013,OKC,@,DEN,W (+3),1,41:14,9,25,.360,3,4,.750,15,17,.882,1,10,11,17,1,1,7,3,36,30.4,+10
18,18,2016-11-26,28-014,OKC,,DET,W (+18),1,37:19,8,22,.364,0,5,.000,1,2,.500,3,10,13,15,1,1,5,2,17,15.9,+14
19,19,2016-11-28,28-016,OKC,@,NYK,W (+9),1,36:22,9,23,.391,2,3,.667,7,7,1.000,5,12,17,14,2,0,7,3,27,25.2,+5
20,20,2016-11-30,28-018,OKC,,WAS,W (+11),1,41:07,12,35,.343,1,6,.167,10,10,1.000,4,10,14,11,2,0,5,3,35,24.6,+4
21,21,2016-12-04,28-022,OKC,,NOP,W (+9),1,37:31,10,23,.435,2,8,.250,6,9,.667,1,16,17,12,1,0,10,1,28,19.2,+13
22,22,2016-12-05,28-023,OKC,@,ATL,W (+3),1,33:52,10,22,.455,3,8,.375,9,14,.643,1,12,13,12,1,1,4,1,32,28.6,-4
23,23,2016-12-09,28-027,OKC,,HOU,L (-3),1,35:36,8,25,.320,0,7,.000,11,12,.917,1,9,10,10,3,0,8,3,27,16.5,-1
24,24,2016-12-11,28-029,OKC,,BOS,W (+3),1,36:12,14,26,.538,2,5,.400,7,12,.583,3,9,12,6,2,0,7,3,37,25.2,+9
25,25,2016-12-13,28-031,OKC,@,POR,L (-19),1,27:21,7,19,.368,2,5,.400,4,4,1.000,2,4,6,6,0,0,4,1,20,11.9,-10
26,26,2016-12-14,28-032,OKC,@,UTA,L (-20),1,30:38,7,25,.280,2,5,.400,11,13,.846,1,5,6,5,1,0,5,4,27,11.6,-6
27,27,2016-12-17,28-035,OKC,,PHO,W (+13),1,34:01,9,17,.529,1,2,.500,7,7,1.000,0,11,11,22,2,1,5,3,26,32.9,+16
28,28,2016-12-19,28-037,OKC,,ATL,L (-2),1,35:25,16,33,.485,3,10,.300,11,13,.846,2,9,11,7,1,0,4,2,46,33.7,-2
29,29,2016-12-21,28-039,OKC,@,NOP,W (+11),1,33:35,12,26,.462,2,7,.286,16,18,.889,1,9,10,7,1,0,4,2,42,32.3,-4
30,30,2016-12-23,28-041,OKC,@,BOS,W (+5),1,34:50,13,25,.520,5,7,.714,14,16,.875,1,10,11,11,1,0,4,1,45,39.9,+9
31,31,2016-12-25,28-043,OKC,,MIN,W (+12),1,32:49,11,25,.440,1,4,.250,8,9,.889,3,4,7,15,1,1,5,2,31,27.2,+12
32,32,2016-12-27,28-045,OKC,@,MIA,W (+12),1,36:39,11,22,.500,0,1,.000,7,10,.700,0,17,17,11,0,0,7,0,29,22.6,+12
33,33,2016-12-29,28-047,OKC,@,MEM,L (-34),1,23:23,6,19,.316,2,6,.333,7,10,.700,2,3,5,0,2,0,6,3,21,6.0,-11
34,34,2016-12-31,28-049,OKC,,LAC,W (+26),1,28:48,6,11,.545,0,2,.000,5,6,.833,0,12,12,14,2,0,1,0,17,25.7,+26
35,35,2017-01-02,28-051,OKC,@,MIL,L (-4),1,35:55,9,28,.321,2,10,.200,10,11,.909,0,7,7,6,3,0,5,3,30,16.7,+3
36,36,2017-01-04,28-053,OKC,@,CHO,L (-11),1,33:48,10,31,.323,2,12,.167,11,13,.846,3,12,15,8,2,1,4,5,33,22.5,-8
37,37,2017-01-05,28-054,OKC,@,HOU,L (-2),1,37:31,16,34,.471,8,15,.533,9,11,.818,1,7,8,5,2,0,5,2,49,33.3,+2
38,38,2017-01-07,28-056,OKC,,DEN,W (+15),1,35:00,10,20,.500,7,12,.583,5,6,.833,2,15,17,11,3,0,5,3,32,32.0,+24
39,39,2017-01-09,28-058,OKC,@,CHI,W (+15),1,33:19,9,18,.500,1,7,.143,2,3,.667,0,9,9,14,1,0,4,2,21,20.3,+10
40,40,2017-01-11,28-060,OKC,,MEM,W (+8),1,36:58,6,20,.300,0,7,.000,12,15,.800,1,12,13,12,2,1,6,1,24,20.2,+13
41,41,2017-01-13,28-062,OKC,@,MIN,L (-10),1,35:37,7,23,.304,1,10,.100,6,7,.857,3,8,11,12,2,0,10,3,21,11.0,-10
42,42,2017-01-15,28-064,OKC,@,SAC,W (+4),1,35:58,11,21,.524,4,5,.800,10,11,.909,2,9,11,10,4,0,7,1,36,33.0,-1
43,43,2017-01-16,28-065,OKC,@,LAC,L (-22),1,29:17,7,19,.368,2,7,.286,8,9,.889,1,4,5,4,2,0,4,2,24,15.0,-20
44,44,2017-01-18,28-067,OKC,@,GSW,L (-21),1,35:14,8,23,.348,1,6,.167,10,11,.909,4,11,15,13,2,2,10,5,27,20.3,-19
45,45,2017-01-23,28-072,OKC,@,UTA,W (+2),1,36:14,11,29,.379,3,7,.429,13,17,.765,1,10,11,10,4,1,6,3,38,28.7,+4
46,46,2017-01-25,28-074,OKC,@,NOP,W (+9),1,35:40,7,22,.318,4,9,.444,9,12,.750,1,11,12,10,1,1,8,3,27,16.7,-1
47,47,2017-01-26,28-075,OKC,,DAL,W (+11),1,35:10,16,29,.552,4,8,.500,9,11,.818,1,7,8,3,2,0,4,2,45,32.4,+19
48,48,2017-01-29,28-078,OKC,@,CLE,L (-16),1,36:22,7,26,.269,1,6,.167,5,8,.625,5,7,12,10,1,1,4,3,20,12.5,-19
49,49,2017-01-31,28-080,OKC,@,SAS,L (-14),1,33:44,7,17,.412,3,7,.429,10,10,1.000,1,5,6,14,1,0,6,4,27,23.3,+8
50,50,2017-02-01,28-081,OKC,,CHI,L (-28),1,29:25,10,23,.435,2,7,.286,6,8,.750,1,4,5,8,2,1,3,1,28,21.9,-23
51,51,2017-02-03,28-083,OKC,,MEM,W (+12),1,37:39,8,20,.400,5,7,.714,17,17,1.000,2,11,13,12,3,0,5,2,38,37.5,+17
52,52,2017-02-05,28-085,OKC,,POR,W (+6),1,35:10,16,34,.471,1,6,.167,9,11,.818,1,3,4,8,0,0,4,3,42,25.8,+7
53,53,2017-02-06,28-086,OKC,@,IND,L (-3),1,37:07,10,27,.370,4,10,.400,3,4,.750,2,16,18,9,1,2,4,3,27,21.4,+1
54,54,2017-02-09,28-089,OKC,,CLE,W (+9),1,35:23,11,27,.407,2,6,.333,5,5,1.000,1,11,12,11,4,0,7,4,29,21.6,+3
55,55,2017-02-11,28-091,OKC,,GSW,L (-16),1,37:09,14,26,.538,3,10,.300,16,18,.889,1,10,11,8,1,0,11,5,47,30.9,-13
56,56,2017-02-13,28-093,OKC,@,WAS,L (-22),1,24:12,5,19,.263,0,4,.000,7,7,1.000,2,2,4,4,2,0,2,0,17,10.5,-36
57,57,2017-02-15,28-095,OKC,,NYK,W (+11),1,37:44,13,22,.591,3,5,.600,9,13,.692,3,11,14,12,3,1,6,0,38,37.7,+13
58,58,2017-02-24,28-104,OKC,,LAL,W (+17),1,35:16,4,18,.222,1,5,.200,8,9,.889,2,16,18,17,3,0,6,1,17,20.3,+19
59,59,2017-02-26,28-106,OKC,,NOP,W (+8),1,36:53,14,29,.483,2,8,.250,11,12,.917,2,9,11,11,1,0,9,2,41,28.9,+4
60,60,2017-02-28,28-108,OKC,,UTA,W (+3),1,38:47,13,28,.464,6,9,.667,11,12,.917,0,11,11,10,0,0,8,1,43,30.1,+10
61,61,2017-03-02,28-110,OKC,@,POR,L (-5),1,36:52,12,36,.333,6,16,.375,15,15,1.000,2,5,7,4,1,1,4,0,45,28.0,-7
62,62,2017-03-03,28-111,OKC,@,PHO,L (-7),1,38:05,14,30,.467,3,12,.250,17,18,.944,1,16,17,9,3,0,4,4,48,41.4,+10
63,63,2017-03-05,28-113,OKC,@,DAL,L (-15),1,34:01,8,24,.333,2,10,.200,11,13,.846,0,6,6,5,2,1,1,4,29,20.0,-14
64,64,2017-03-07,28-115,OKC,,POR,L (-5),1,35:56,21,39,.538,3,9,.333,13,16,.813,1,2,3,9,3,1,4,4,58,43.6,+7
65,65,2017-03-09,28-117,OKC,,SAS,W (+10),1,35:08,7,21,.333,1,6,.167,8,9,.889,3,10,13,13,2,0,3,2,23,23.1,+12
66,66,2017-03-11,28-119,OKC,,UTA,W (+8),1,36:18,9,26,.346,3,10,.300,12,13,.923,1,10,11,14,2,2,5,1,33,29.5,+12
67,67,2017-03-14,28-122,OKC,@,BRK,W (+18),1,34:42,6,18,.333,2,7,.286,11,13,.846,1,11,12,19,2,1,5,3,25,27.8,+7
68,68,2017-03-16,28-124,OKC,@,TOR,W (+21),1,27:50,8,17,.471,4,8,.500,4,4,1.000,0,10,10,16,1,0,2,2,24,27.7,+26
69,69,2017-03-18,28-126,OKC,,SAC,W (+16),1,35:59,9,20,.450,4,9,.444,6,7,.857,3,5,8,10,4,0,7,1,28,24.4,+13
70,70,2017-03-20,28-128,OKC,,GSW,L (-16),1,27:13,4,16,.250,1,6,.167,6,7,.857,0,8,8,7,2,0,5,4,15,7.7,-25
