"","Team.Game","Player.Game","Date","Age","Tm","Where","Opp","Result","PointDiff","GS","MP","FG","FGA","FG.percent","3PM","3PA","3P.percent","FT","FTA","FT.percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Plus.Minus","Playername"
"1",1,1,"2016-10-26","27-349","OKC","Away","PHI","W ",6,1,"36:23",11,21,0.524,1,2,0.5,9,11,0.818,1,11,12,9,0,0,2,2,32,28.4,10,"westbrook"
"2",2,2,"2016-10-28","27-351","OKC","Home","PHO","W ",3,1,"45:19",17,44,0.386,2,10,0.2,15,20,0.75,3,10,13,10,2,0,5,3,51,32.9,7,"westbrook"
"3",3,3,"2016-10-30","27-353","OKC","Home","LAL","W ",17,1,"33:39",11,21,0.524,5,6,0.833,6,6,1,4,7,11,16,1,1,7,3,33,32.3,9,"westbrook"
"4",4,4,"2016-11-02","27-356","OKC","Away","LAC","W ",2,1,"32:39",14,30,0.467,0,7,0,7,9,0.778,1,5,6,5,3,0,10,4,35,15.9,12,"westbrook"
"5",5,5,"2016-11-03","27-357","OKC","Away","GSW","L ",-26,1,"28:52",4,15,0.267,2,4,0.5,10,14,0.714,1,5,6,10,1,2,6,3,20,13.9,-9,"westbrook"
"6",6,6,"2016-11-05","27-359","OKC","Home","MIN","W ",20,1,"28:22",9,18,0.5,4,5,0.8,6,8,0.75,2,4,6,8,3,0,2,3,28,26.2,22,"westbrook"
"7",7,7,"2016-11-07","27-361","OKC","Home","MIA","W ",12,1,"26:39",5,16,0.313,1,6,0.167,3,3,1,2,3,5,11,0,0,5,2,14,9,24,"westbrook"
"8",8,8,"2016-11-09","27-363","OKC","Home","TOR","L ",-10,1,"38:46",9,26,0.346,3,12,0.25,15,18,0.833,2,5,7,7,1,2,8,2,36,21.6,-4,"westbrook"
"9",9,9,"2016-11-11","27-365","OKC","Home","LAC","L ",-2,1,"35:16",9,25,0.36,3,5,0.6,8,9,0.889,1,13,14,9,1,0,4,5,29,20.6,-5,"westbrook"
"10",10,10,"2016-11-13","28-001","OKC","Home","ORL","L ",-2,1,"37:38",14,21,0.667,0,3,0,13,18,0.722,2,10,12,16,0,0,2,2,41,42.7,9,"westbrook"
"11",11,11,"2016-11-14","28-002","OKC","Away","DET","L ",-16,1,"33:34",11,21,0.524,0,2,0,11,12,0.917,2,13,15,8,0,0,7,4,33,24.6,-6,"westbrook"
"12",12,12,"2016-11-16","28-004","OKC","Home","HOU","W ",2,1,"36:06",9,20,0.45,2,4,0.5,10,11,0.909,1,6,7,9,2,0,6,0,30,24,12,"westbrook"
"13",13,13,"2016-11-18","28-006","OKC","Home","BRK","W ",19,1,"33:51",13,21,0.619,0,1,0,4,5,0.8,3,7,10,13,1,0,3,0,30,31.4,21,"westbrook"
"14",14,14,"2016-11-20","28-008","OKC","Home","IND","L ",-4,1,"40:20",13,34,0.382,2,8,0.25,3,5,0.6,5,6,11,15,2,0,7,3,31,21.2,-16,"westbrook"
"15",15,15,"2016-11-22","28-010","OKC","Away","LAL","L ",-2,1,"35:31",13,30,0.433,4,9,0.444,4,5,0.8,3,5,8,13,2,0,8,3,34,23.3,9,"westbrook"
"16",16,16,"2016-11-23","28-011","OKC","Away","SAC","L ",-15,1,"35:04",7,18,0.389,1,5,0.2,16,19,0.842,1,10,11,9,2,0,3,1,31,28.6,-7,"westbrook"
"17",17,17,"2016-11-25","28-013","OKC","Away","DEN","W ",3,1,"41:14",9,25,0.36,3,4,0.75,15,17,0.882,1,10,11,17,1,1,7,3,36,30.4,10,"westbrook"
"18",18,18,"2016-11-26","28-014","OKC","Home","DET","W ",18,1,"37:19",8,22,0.364,0,5,0,1,2,0.5,3,10,13,15,1,1,5,2,17,15.9,14,"westbrook"
"19",19,19,"2016-11-28","28-016","OKC","Away","NYK","W ",9,1,"36:22",9,23,0.391,2,3,0.667,7,7,1,5,12,17,14,2,0,7,3,27,25.2,5,"westbrook"
"20",20,20,"2016-11-30","28-018","OKC","Home","WAS","W ",11,1,"41:07",12,35,0.343,1,6,0.167,10,10,1,4,10,14,11,2,0,5,3,35,24.6,4,"westbrook"
"21",21,21,"2016-12-04","28-022","OKC","Home","NOP","W ",9,1,"37:31",10,23,0.435,2,8,0.25,6,9,0.667,1,16,17,12,1,0,10,1,28,19.2,13,"westbrook"
"22",22,22,"2016-12-05","28-023","OKC","Away","ATL","W ",3,1,"33:52",10,22,0.455,3,8,0.375,9,14,0.643,1,12,13,12,1,1,4,1,32,28.6,-4,"westbrook"
"23",23,23,"2016-12-09","28-027","OKC","Home","HOU","L ",-3,1,"35:36",8,25,0.32,0,7,0,11,12,0.917,1,9,10,10,3,0,8,3,27,16.5,-1,"westbrook"
"24",24,24,"2016-12-11","28-029","OKC","Home","BOS","W ",3,1,"36:12",14,26,0.538,2,5,0.4,7,12,0.583,3,9,12,6,2,0,7,3,37,25.2,9,"westbrook"
"25",25,25,"2016-12-13","28-031","OKC","Away","POR","L ",-19,1,"27:21",7,19,0.368,2,5,0.4,4,4,1,2,4,6,6,0,0,4,1,20,11.9,-10,"westbrook"
"26",26,26,"2016-12-14","28-032","OKC","Away","UTA","L ",-20,1,"30:38",7,25,0.28,2,5,0.4,11,13,0.846,1,5,6,5,1,0,5,4,27,11.6,-6,"westbrook"
"27",27,27,"2016-12-17","28-035","OKC","Home","PHO","W ",13,1,"34:01",9,17,0.529,1,2,0.5,7,7,1,0,11,11,22,2,1,5,3,26,32.9,16,"westbrook"
"28",28,28,"2016-12-19","28-037","OKC","Home","ATL","L ",-2,1,"35:25",16,33,0.485,3,10,0.3,11,13,0.846,2,9,11,7,1,0,4,2,46,33.7,-2,"westbrook"
"29",29,29,"2016-12-21","28-039","OKC","Away","NOP","W ",11,1,"33:35",12,26,0.462,2,7,0.286,16,18,0.889,1,9,10,7,1,0,4,2,42,32.3,-4,"westbrook"
"30",30,30,"2016-12-23","28-041","OKC","Away","BOS","W ",5,1,"34:50",13,25,0.52,5,7,0.714,14,16,0.875,1,10,11,11,1,0,4,1,45,39.9,9,"westbrook"
"31",31,31,"2016-12-25","28-043","OKC","Home","MIN","W ",12,1,"32:49",11,25,0.44,1,4,0.25,8,9,0.889,3,4,7,15,1,1,5,2,31,27.2,12,"westbrook"
"32",32,32,"2016-12-27","28-045","OKC","Away","MIA","W ",12,1,"36:39",11,22,0.5,0,1,0,7,10,0.7,0,17,17,11,0,0,7,0,29,22.6,12,"westbrook"
"33",33,33,"2016-12-29","28-047","OKC","Away","MEM","L ",-34,1,"23:23",6,19,0.316,2,6,0.333,7,10,0.7,2,3,5,0,2,0,6,3,21,6,-11,"westbrook"
"34",34,34,"2016-12-31","28-049","OKC","Home","LAC","W ",26,1,"28:48",6,11,0.545,0,2,0,5,6,0.833,0,12,12,14,2,0,1,0,17,25.7,26,"westbrook"
"35",35,35,"2017-01-02","28-051","OKC","Away","MIL","L ",-4,1,"35:55",9,28,0.321,2,10,0.2,10,11,0.909,0,7,7,6,3,0,5,3,30,16.7,3,"westbrook"
"36",36,36,"2017-01-04","28-053","OKC","Away","CHO","L ",-11,1,"33:48",10,31,0.323,2,12,0.167,11,13,0.846,3,12,15,8,2,1,4,5,33,22.5,-8,"westbrook"
"37",37,37,"2017-01-05","28-054","OKC","Away","HOU","L ",-2,1,"37:31",16,34,0.471,8,15,0.533,9,11,0.818,1,7,8,5,2,0,5,2,49,33.3,2,"westbrook"
