Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-25,28-026,GSW,,SAS,L (-29),1,36:36,11,18,.611,1,3,.333,4,5,.800,0,10,10,4,2,2,0,2,27,26.8,-13
2,2,2016-10-28,28-029,GSW,@,NOP,W (+8),1,39:06,9,19,.474,0,3,.000,12,12,1.000,0,17,17,6,2,2,2,2,30,30.2,+4
3,3,2016-10-30,28-031,GSW,@,PHO,W (+6),1,37:56,10,16,.625,2,4,.500,15,16,.938,0,4,4,4,4,1,4,2,37,33.3,+18
4,4,2016-11-01,28-033,GSW,@,POR,W (+23),1,30:43,9,15,.600,0,3,.000,2,3,.667,1,4,5,2,4,1,2,3,20,17.5,+12
5,5,2016-11-03,28-035,GSW,,OKC,W (+26),1,31:08,15,24,.625,7,11,.636,2,3,.667,1,6,7,1,0,1,2,3,39,28.5,+21
6,6,2016-11-04,28-036,GSW,@,LAL,L (-20),1,35:17,10,16,.625,2,4,.500,5,8,.625,1,4,5,3,2,1,2,1,27,22.9,-17
7,7,2016-11-07,28-039,GSW,,NOP,W (+10),1,36:54,8,17,.471,1,4,.250,5,6,.833,1,2,3,5,1,1,4,0,22,15.4,+4
8,8,2016-11-09,28-041,GSW,,DAL,W (+21),1,35:15,10,16,.625,4,7,.571,4,5,.800,0,10,10,4,0,1,3,3,28,22.7,+19
9,9,2016-11-10,28-042,GSW,@,DEN,W (+24),1,29:32,8,16,.500,0,3,.000,2,2,1.000,2,7,9,5,1,2,1,2,18,17.6,+29
10,10,2016-11-13,28-045,GSW,,PHO,W (+13),1,37:37,10,21,.476,2,5,.400,7,7,1.000,0,9,9,5,1,2,4,2,29,22.1,+13
11,11,2016-11-16,28-048,GSW,@,TOR,W (+6),1,35:53,11,21,.524,3,8,.375,5,6,.833,2,7,9,6,1,0,4,3,30,22.8,-6
12,12,2016-11-18,28-050,GSW,@,BOS,W (+16),1,32:46,10,13,.769,1,2,.500,2,4,.500,1,9,10,7,2,1,2,1,23,25.7,+32
13,13,2016-11-19,28-051,GSW,@,MIL,W (+3),1,35:57,10,17,.588,5,8,.625,8,11,.727,0,6,6,5,2,1,0,5,33,29.9,+3
14,14,2016-11-21,28-053,GSW,@,IND,W (+37),1,27:29,3,9,.333,1,4,.250,7,7,1.000,0,11,11,6,2,2,1,0,14,18.8,+27
15,15,2016-11-23,28-055,GSW,,LAL,W (+43),1,30:10,11,15,.733,2,4,.500,4,5,.800,1,5,6,5,1,1,1,3,28,26.7,+17
